,cpi_inflation_yoy,export_revenue_usd_m
2019-09-30,3.762468179883628,1120.5229082604055
2019-10-31,4.321368979086246,1151.4695737994768
2019-11-30,4.378212918508966,1325.0653022093568
2019-12-31,6.838537465101658,1458.095804893031
2020-01-31,5.566159404997713,1428.6448435081336
2020-02-29,4.082230521825121,1398.0331862166422
2020-03-31,4.8850961893920255,1332.6921708125549
2020-04-30,1.732407202847169,1447.269517167988
2020-05-31,3.4014604978557146,1455.6392202074594
2020-06-30,4.500525370419986,1388.2264568149058
2020-07-31,4.198465958068213,1588.741913784869
2020-08-31,3.3742693923052123,1367.6625199170273
2020-09-30,4.03769873066856,1596.4866829719642
2020-10-31,4.591942693736441,1572.527007296226
2020-11-30,4.317377810492707,1680.9223931029198
2020-12-31,5.543326993701461,1695.5154937305927
2021-01-31,5.112278637427787,1620.5389795472965
2021-02-28,5.600115435165927,1651.5835780697037
2021-03-31,7.33545068651255,1592.9228163096059
2021-04-30,6.599025906384192,1627.6875657231224
2021-05-31,8.054610296559861,1714.3289671492855
2021-06-30,5.549380155972648,1480.9232864853777
2021-07-31,4.863783305085096,1441.9599084632725
2021-08-31,7.051994023850464,1506.092817110994
2021-09-30,7.4196420588978915,1483.1161239723324
2021-10-31,9.933660019902362,1508.0709149406641
2021-11-30,7.337784521634668,1441.0295750608288
2021-12-31,9.127518895716989,1535.7251698290197
2022-01-31,10.250891253660058,1454.1509780566203
2022-02-28,10.438701251423156,1558.0454291150543
2022-03-31,10.675219937825185,1604.2831447514927
2022-04-30,11.879521399824261,1615.7684945417668
2022-05-31,13.315148963805743,1528.3094347581468
2022-06-30,24.434015743289745,1499.8467071011771
2022-07-31,23.19836455556711,1425.6397615541061
2022-08-31,22.741945000389048,1423.9909046889431
2022-09-30,26.11558814055192,1456.092212366541
2022-10-31,23.522576554837865,1470.6490956958203
2022-11-30,27.491660869370087,1412.656106964943
2022-12-31,27.466109562398216,1295.3826019996397
2023-01-31,28.130955984134104,1340.1071131455762
2023-02-28,27.634524572802516,1281.3541483098404
2023-03-31,24.720904741584935,1307.9488738241823
2023-04-30,26.425980656363613,1239.6524182045077
2023-05-31,28.429293187973432,1213.842655794779
2023-06-30,17.60744213113363,1197.5768767579316
2023-07-31,18.364341788994153,1204.7442789412344
2023-08-31,19.768119781015027,1136.0905142457466
2023-09-30,19.082987018739775,1184.7092746669405
2023-10-31,18.041175089008703,1229.8009254409378
2023-11-30,20.745564485221458,1217.2566293811471
2023-12-31,20.440250411124612,1172.4520312148563
2024-01-31,19.623271930389603,1343.0676205924951
2024-02-29,20.834884936318954,1176.104309265603
2024-03-31,20.114016502422714,1299.877060873011
2024-04-30,21.57538919717349,1337.7127515871593
2024-05-31,20.096315435656066,1325.1716564840406
2024-06-30,21.40032457663074,1387.944028110627
2024-07-31,17.420135225084714,1512.1379530456136
2024-08-31,20.037380113872757,1485.4327859719913
2024-09-30,18.78850259374811,1576.976126460855
2024-10-31,17.977639680477637,1787.5183286021968
2024-11-30,20.105523221518972,2068.2387260842947
2024-12-31,19.454801819239506,2136.110924234673
2025-01-31,15.620121792606135,2056.628385148465
2025-02-28,18.495744013817284,1928.4136693792173
2025-03-31,17.930633599698748,2031.5225618777688
2025-04-30,15.903867451402022,2018.5626633047623
2025-05-31,15.298751527788703,2075.867345630172
2025-06-30,13.900053857189771,2053.6254952022223
2025-07-31,14.891909605249696,1975.006115227622
2025-08-31,14.555352579168117,2058.5349715240372
2025-09-30,15.182005337365128,2118.7456692505416
2025-10-31,13.994786892198611,2026.0238184880784
2025-11-30,11.837037379015479,1824.1048239940344
2025-12-31,12.827317583596528,1858.0320568643124
2026-01-31,11.664797827084874,1995.4137055187932
2026-02-28,10.27699957990819,1969.7656613158945
2026-03-31,8.923587138444764,1850.6954967308625
2026-04-30,11.018926399239577,1743.3342380877837
2026-05-31,10.251832592962451,1828.7910352468846
2026-06-30,9.84291977578716,1711.7536122935035
